TAXON	Woody	Perennial	Plant height	Petiole length	Leaf length	Leaf width	"Leaf shape"	"Inflorescence type"	"Sepal number"	Sepal length	Sepal width	"Sepal color"	"Sepal shape"	"Petal number"	Petal length	Petal width	"Petal color"	"Petal shape"	Stamen number	Stamen length	Style length	Seed length	"Flowering time"	Habitat	Elevation	Name source	Special characters	Notes	High missing	Presence %
Astilbe_japonica	1	0	15-80		3-7	1-2.3	cuneate-oblanceolate, rhombic-oblong, rhombic-lanceolate	panicles	5	1.5-1.8		greenish-white	elliptic	5	3-4		white	spatulate	10	2.5			spring, summer	On rocks by streams		Original				0.782608696
Astilbe_longicarpa	1	0	32-150		3-9	1.2-3.5	narrowly ovate, lanceolate		5	1.4	0.6		elliptic	5	3-3.2	0.8-1		oblanceolate	10	3-4.5						Original				0.695652174
Astilbe_macrocarpa	1	0	100-130		(2.8-)6-17.5	(1.6-)2.8-10.6	rhombic-elliptic, ovate, oblong		5	1.5-2.2	1-1.5		ovate	2-5	1-1.5	0.1-0.2	white	linear, spatulate-linear, subulate	8-10	1.3-3.5			summer,fall	Scrub and meadows in ravines	500-1600	Original				0.782608696
Astilbe_macroflora	1	0	15-30		 2.4-3.8	2.3-3.2	 broadly ovate		5	2-2.5	1		ovate	5	3-3.4	1		spatulate	10	2.5-4			summer	High peaks	3200-3800	Original				0.739130435
Astilbe_microphylla	1	0	40-80		2-4	1-2	elliptic, ovate	panicles		1-1.5		greenish-white	elliptic		3-5		pink	linear-spatulate	10	2.5-3			summer	Open forests, forest margins, grasslands, in mountains		Original				0.695652174
Astilbe_myriantha	1	0	60-250		4-14.5	1.7-8.4	ovate,  broadly elliptic		4,5	1.2-1.5	1	green	ovate, elliptic, oblong	0-5					5-10(-12)	 0.2-2.4			summer, fall	Forests, scrub, shaded ravines	1100-2500	Original				0.652173913
Astilbe_odontophylla	1	0	40-100		5-12	4-10	ovate, widely ovate	panicles							4-6		white	oblong, lanceolate	10	2.5-3			summer	forests and grasslands in temperate and subalpine zones, especially in areas with deep snow deposit in winter		Original				0.565217391
Astilbe_rivularis	1	0	60-250		4-14.5	1.7-8.4	rhombic-elliptic, obovate, ovate		4,5	1.2-1.5	1	green	ovate, elliptic, oblong	0					5-10(-12)	 0.2-2.4		1	summer, fall	Forests, forest margins, scrub, meadows	900-3200	Original				0.695652174
Astilbe_rubra	1	0	90-150	60	2.3-5	1.8-4.6	ovate		5	1.5-2	1		ovate	5	4-5	0.3-0.5	pink, red, red-purple	linear	10	2.5-3			summer	Forest margins	2400	Original				0.826086957
Astilbe_simplicifolia	1	0		5-15	3-8	2-5	broadly ovate, narrowly ovate	panicles		1.5		white	narrowly ovate		2-2.5		white	linear-spatulate	10				summer	On rocks by streams		Original				0.652173913
Astilbe_thunbergii	1	0	40-80		4-10(-12)	2-4.5	elliptic, ovate, narrowly ovate	panicles		1		greenish-white	lanceolate		3		white	spatulate-linear	10	2-3			spring, summer	Open forests, forest margins		Original				0.695652174
Astilboides_tabularis	1	0	100-150	30-60		1.8-6(-10)	broadly ovate	panicle	4,5	2	1.7-1.8		ovate	4, 5			white, lilac	obovate-oblong	(6-)8			2.2	summer, fall	Forests on slopes, valleys		Original				0.739130435
Bensoniella_oregona	1	0	19-45	2-15	2-5		orbiculate, cordate	racemes	5	1.5-2.5		yellowish-white, green	oblong	absent, 5	1.5-2		purple, pink	linear	5	3	2-3	0.8-0.9	spring, summer	Wet meadows, bogs, shady fir forests	1000-1600	Original				0.869565217
Bergenia_ciliata	1	0	5-25	1-6			orbicular, broadly ovate	panicles	5	3-6			oblong	5(-6)	11-15	7-13	pink	obovate	10	6-12	4-6	1.5-2	spring	Quercus and Pinus forests	900-3200	Original				0.826086957
Bergenia_crassifolia	1	0	15-30	3-9	5-12.5 	3.5-9.5	obovate, elliptic	cymose	5	3-4	2-4		 obovate, broadly triangular-obovate	5	7-8	4.6-5	purple	elliptic, broadly ovate	10	4.5	2.5		spring, summer, fall	Forests, rock crevices on shaded slopes	1100-1800	Original				0.913043478
Bergenia_emeiensis	1	0	35	3-4.7	9.5-16.5 	4-8.3	narrowly obovate	cymose	5	6	5		subovate	5	27-28	10-21	white	narrowly obovate	10	17	11		spring, summer	Rock crevices	1600	Original				0.913043478
Bergenia_pacumbis	1	0	17	3-10	7-15	6.6-13.2	 orbicular, broadly ovate, broadly obovate	cymose	5	3-3.5			broadly ovate	5	8.5	6	white, pink	orbicular	10	5.5	4		summer	Forests, rock crevices	2300-2400	Original				0.869565217
Bergenia_purpurascens	1	0	13-50	2-7	5.5-16 	3-9	 obovate, subelliptic, broadly obovate, suboblong	cymose	5	6.5-7	2-4		narrowly ovate	5	10-17	7-78	purple	broadly ovate	10	6-11	5.3-7.5 	1.5-2	spring, summer, fall	Forests, scrub, alpine meadows, alpine rock crevices	2700-4800	Original				0.956521739
Bergenia_scopulosa	1	0	10-50	1.5-13	(5-)16.5-25 	(4-)13.2-22	orbicular, broadly ovate, broadly elliptic	cymose	5	 4-4.5 	3.3-5		ovate	5	8-9	6-7.8		elliptic, broadly ovate, orbicular	10	4.5-5	5		spring, summer, fall	Forests, rock crevices	2500-3600	Original				0.869565217
Bergenia_stracheyi	1	0	20	1-1.8	7-7.5 	4.2-4.6	obovate	cymose	5	5-6	3.5-4		subovate	5	9.5	4-5	red	subspatulate	10	6-7	7		summer, fall	Forests, rock crevices	3900-4500	Original				0.913043478
Bolandra_californica	1	0	10-40	3-12	1-5		reniform, orbiculate	cymes	5	3-5		greenish, purple	narrowly triangular, triangular-ovate	5	 4-5(-7)		greenish	narrowly lanceolate	5	2-3	1	0.8-1	summer	Wet, shaded, rocky crevices and cliffs, usually near water courses	1200-2200	Original				0.869565217
